nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Can Pere Antoni Apartamentos,1,1.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d26492773-Reviews-Can_Pere_Antoni_Apartamentos-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Toros Apartamentos,1,1.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d26469332-Reviews-Toros_Apartamentos-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Palma Centro,1,1.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d27168958-Reviews-Palma_Centro-Palma_de_Mallorca_Majorca_Balearic_Islands.html
New Art Hostel,65,2.5,76.0,Palma de Mallorca,"['Free Wifi', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187463-d12413878-Reviews-New_Art_Hostel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Albergue Juvenil New Age Hostel,5,1.5,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d20993817-Reviews-Albergue_Juvenil_New_Age_Hostel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hostel Secar de la Real,20,2.0,,Palma de Mallorca,"['Free Wifi', 'Airport transportation', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187463-d9991558-Reviews-Hostel_Secar_de_la_Real-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hostal Terramar,102,2.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d270441-Reviews-Hostal_Terramar-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Rambla - Palma center,0,0.0,103.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d27703192-Reviews-Rambla_Palma_center-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Cream Homes La Rambla,0,0.0,238.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d17620353-Reviews-Cream_Homes_La_Rambla-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Hotel Oleander,0,0.0,163.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d28114947-Reviews-Hotel_Oleander-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Metropolitan Juka Playa,0,0.0,104.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d23369549-Reviews-Metropolitan_Juka_Playa-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Heart Of Palma,0,0.0,57.0,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d28405910-Reviews-Heart_Of_Palma-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Costa Brava,0,0.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d17518599-Reviews-Costa_Brava-Palma_de_Mallorca_Majorca_Balearic_Islands.html
Live Mallorca Hostel,0,0.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d6930016-Reviews-Live_Mallorca_Hostel-Palma_de_Mallorca_Majorca_Balearic_Islands.html
"Luxury Villa for 16 People with Seaview, Pool and Bbq",0,0.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d23224287-Reviews-Luxury_Villa_for_16_People_with_Seaview_Pool_and_Bbq-Palma_de_Mallorca_Majorca_Balear.html
Palma Colors - Llotgeta - Turismo de Interior,0,0.0,,Palma de Mallorca,[],https://www.tripadvisor.com/Hotel_Review-g187463-d19609817-Reviews-Palma_Colors_Llotgeta_Turismo_de_Interior-Palma_de_Mallorca_Majorca_Balearic_Islands.html
