nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Hotel Boutique San Diego,33,5.0,167.5,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking', 'Breakfast included', 'Beachfront', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187482-d22999436-Reviews-Hotel_Boutique_San_Diego-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Tenerife Art Hostel,2,4.0,47.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d26015559-Reviews-Tenerife_Art_Hostel-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Apartamentos El Guirre,2,5.0,99.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15689422-Reviews-Apartamentos_El_Guirre-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Travelers House Casa Dona Carmela,18,4.5,96.0,Santa Cruz de Tenerife,"['Free Wifi', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187482-d12366388-Reviews-Travelers_House_Casa_Dona_Carmela-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Bamboli Holidays,1,5.0,101.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15688803-Reviews-Bamboli_Holidays-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Pension Mova,32,3.5,49.0,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d2715853-Reviews-Pension_Mova-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Adonis Capital,201,3.5,68.5,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d2304272-Reviews-Hotel_Adonis_Capital-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Coffee&Bed Tenerife Dreams,0,0.0,42.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d27151793-Reviews-Coffee_Bed_Tenerife_Dreams-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Ocean Boulevard,0,0.0,123.0,Santa Cruz de Tenerife,['Pool'],https://www.tripadvisor.com/Hotel_Review-g187482-d26811351-Reviews-Ocean_Boulevard-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Niko Rooms,0,0.0,93.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d27989883-Reviews-Niko_Rooms-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
