nombre_hotel,reviews_hotel,rating_hotel,precio_medio_por noche,ciudad,servicios,link
Hotel Colon Rambla,868,4.5,122.5,Santa Cruz de Tenerife,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187482-d1190472-Reviews-Hotel_Colon_Rambla-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Innside by Meliá Tenerife Santa Cruz,4,5.0,135.5,Santa Cruz de Tenerife,"['Beachfront', 'Outdoor pool', 'Restaurant', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187482-d27692288-Reviews-Innside_by_Melia_Tenerife_Santa_Cruz-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Iberostar Heritage Grand Mencey,2829,4.5,172.5,Santa Cruz de Tenerife,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187482-d1555517-Reviews-Iberostar_Heritage_Grand_Mencey-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Taburiente,1017,4.0,127.5,Santa Cruz de Tenerife,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187482-d529060-Reviews-Hotel_Taburiente-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
NH Tenerife,866,4.0,114.5,Santa Cruz de Tenerife,"['Restaurant', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187482-d754298-Reviews-NH_Tenerife-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Horizonte,244,3.5,61.0,Santa Cruz de Tenerife,"['Free Wifi', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187482-d1185896-Reviews-Hotel_Horizonte-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Nautico,126,3.5,70.0,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d535664-Reviews-Hotel_Nautico-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
AC Hotel Tenerife,70,3.5,139.0,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking', 'Breakfast included', 'Pool', 'Beachfront']",https://www.tripadvisor.com/Hotel_Review-g187482-d23271293-Reviews-AC_Hotel_Tenerife-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Atlantico Centro,102,3.5,62.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d1499009-Reviews-Hotel_Atlantico_Centro-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Silken Atlantida Santa Cruz,1017,4.0,126.0,Santa Cruz de Tenerife,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge', 'Fitness center']",https://www.tripadvisor.com/Hotel_Review-g187482-d241890-Reviews-Silken_Atlantida_Santa_Cruz-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casablanca B&B Tenerife,29,4.0,45.5,Santa Cruz de Tenerife,"['Free Wifi', 'Breakfast included', 'Pets Allowed']",https://www.tripadvisor.com/Hotel_Review-g187482-d8871609-Reviews-Casablanca_B_B_Tenerife-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Adonis Plaza,314,3.0,78.0,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d586943-Reviews-Hotel_Adonis_Plaza-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Escuela Santa Cruz,307,4.0,104.5,Santa Cruz de Tenerife,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187482-d232769-Reviews-Hotel_Escuela_Santa_Cruz-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Oceano Centro,13,3.0,57.0,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d2420308-Reviews-Hotel_Oceano_Centro-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Adonis Capital,201,3.5,68.5,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d2304272-Reviews-Hotel_Adonis_Capital-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Emblemático Hi Suites,14,4.5,142.5,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d23001121-Reviews-Hotel_Emblematico_Hi_Suites-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casa Kilig,14,4.0,63.5,Santa Cruz de Tenerife,"['Free Wifi', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187482-d12842133-Reviews-Casa_Kilig-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Príncipe Paz,384,4.0,106.5,Santa Cruz de Tenerife,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187482-d248461-Reviews-Hotel_Principe_Paz-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Boutique San Diego,33,5.0,167.5,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking', 'Breakfast included', 'Beachfront', 'Airport transportation']",https://www.tripadvisor.com/Hotel_Review-g187482-d22999436-Reviews-Hotel_Boutique_San_Diego-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Tenerife Experience Hostel,22,4.0,41.5,Santa Cruz de Tenerife,"['Free Wifi', 'Breakfast included']",https://www.tripadvisor.com/Hotel_Review-g187482-d13083796-Reviews-Tenerife_Experience_Hostel-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Pension Cejas,102,4.5,65.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d2191915-Reviews-Pension_Cejas-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel F24 Emblematico,10,5.0,152.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d23730461-Reviews-Hotel_F24_Emblematico-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Central Lofts,5,3.5,83.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d23325261-Reviews-Central_Lofts-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Apartamentos Los Rosales,99,3.5,88.5,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking', 'Pool']",https://www.tripadvisor.com/Hotel_Review-g187482-d783918-Reviews-Apartamentos_Los_Rosales-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Urban Anaga Hotel,70,3.0,111.5,Santa Cruz de Tenerife,"['Free Wifi', 'Restaurant', 'Room service', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187482-d19102483-Reviews-Urban_Anaga_Hotel-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Apartamentos Bruja,26,4.0,88.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d9570845-Reviews-Apartamentos_Bruja-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Tanausú,64,3.0,73.5,Santa Cruz de Tenerife,"['Free Wifi', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187482-d644532-Reviews-Hotel_Tanausu-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Montes de Anaga Hostel,42,4.0,33.5,Santa Cruz de Tenerife,"['Free parking', 'Beachfront']",https://www.tripadvisor.com/Hotel_Review-g187482-d6440776-Reviews-Montes_de_Anaga_Hostel-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Tenerife Urban Rooms,2,2.0,58.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d21336475-Reviews-Tenerife_Urban_Rooms-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Mapango,2,1.5,60.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d19736424-Reviews-Mapango-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Tenerife Art Hostel,2,4.0,47.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d26015559-Reviews-Tenerife_Art_Hostel-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Apartamentos El Guirre,2,5.0,99.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15689422-Reviews-Apartamentos_El_Guirre-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Travelers House Casa Dona Carmela,18,4.5,96.0,Santa Cruz de Tenerife,"['Free Wifi', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187482-d12366388-Reviews-Travelers_House_Casa_Dona_Carmela-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Bamboli Holidays,1,5.0,101.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15688803-Reviews-Bamboli_Holidays-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Pension Mova,32,3.5,49.0,Santa Cruz de Tenerife,['Free Wifi'],https://www.tripadvisor.com/Hotel_Review-g187482-d2715853-Reviews-Pension_Mova-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Coffee&Bed Tenerife Dreams,0,0.0,42.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d27151793-Reviews-Coffee_Bed_Tenerife_Dreams-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Ocean Boulevard,0,0.0,123.0,Santa Cruz de Tenerife,['Pool'],https://www.tripadvisor.com/Hotel_Review-g187482-d26811351-Reviews-Ocean_Boulevard-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Niko Rooms,0,0.0,93.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d27989883-Reviews-Niko_Rooms-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Edi Astoria,1,1.0,94.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d21156339-Reviews-Edi_Astoria-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Occidental Santa Cruz Contemporáneo,2071,4.0,,Santa Cruz de Tenerife,"['Free Wifi', 'Pool', 'Outdoor pool', 'Restaurant', 'Room service']",https://www.tripadvisor.com/Hotel_Review-g187482-d232770-Reviews-Occidental_Santa_Cruz_Contemporaneo-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Finca Casa Vieja,43,5.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d1168138-Reviews-Finca_Casa_Vieja-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casa Armonia Bed & Breakfast,29,4.5,,Santa Cruz de Tenerife,"['Free Wifi', 'Breakfast included', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187482-d10273759-Reviews-Casa_Armonia_Bed_Breakfast-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Pension Milema,37,4.0,,Santa Cruz de Tenerife,"['Free Wifi', 'Bar/Lounge']",https://www.tripadvisor.com/Hotel_Review-g187482-d2075604-Reviews-Pension_Milema-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Haciendas del Valle,8,5.0,121.5,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking']",https://www.tripadvisor.com/Hotel_Review-g187482-d10040036-Reviews-Haciendas_del_Valle-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Mencey Lofts Rambla,5,4.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15685682-Reviews-Mencey_Lofts_Rambla-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Chalet Codivilla,7,4.5,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d12197197-Reviews-Chalet_Codivilla-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Burbuja Finca Esferas,7,4.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d24089359-Reviews-Hotel_Burbuja_Finca_Esferas-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Apartamentos Edificio AguaMarina,3,5.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15689257-Reviews-Apartamentos_Edificio_AguaMarina-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Los Geranios,5,5.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d2632370-Reviews-Los_Geranios-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Lavaderos Suites,2,4.5,122.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d15667161-Reviews-Lavaderos_Suites-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Hotel Rural Ohana,11,3.5,178.5,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d20092214-Reviews-Hotel_Rural_Ohana-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casa Weyler,2,5.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d21236814-Reviews-Casa_Weyler-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
JDH Properties,3,4.5,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d10195855-Reviews-JDH_Properties-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casa del Cura Viejo,8,4.0,,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking', 'Pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187482-d652960-Reviews-Casa_del_Cura_Viejo-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Orlando Apart,2,4.5,121.0,Santa Cruz de Tenerife,"['Free parking', 'Pool', 'Beachfront', 'Outdoor pool', 'Restaurant']",https://www.tripadvisor.com/Hotel_Review-g187482-d20010698-Reviews-Orlando_Apart-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Villa Vistas al Teide,1,5.0,,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d26831062-Reviews-Villa_Vistas_al_Teide-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Wanderlust Hostel,2,4.0,26.0,Santa Cruz de Tenerife,[],https://www.tripadvisor.com/Hotel_Review-g187482-d25795967-Reviews-Wanderlust_Hostel-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Casa Dos Barrancos,3,4.0,131.5,Santa Cruz de Tenerife,"['Free Wifi', 'Free parking', 'Pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187482-d789617-Reviews-Casa_Dos_Barrancos-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
Villa Aurora Apartamentos & Pension,6,4.0,95.5,Santa Cruz de Tenerife,"['Pool', 'Outdoor pool']",https://www.tripadvisor.com/Hotel_Review-g187482-d2668115-Reviews-Villa_Aurora_Apartamentos_Pension-Santa_Cruz_de_Tenerife_Tenerife_Canary_Islands.html
