id_vuelo,id_origen,ciudad_origen,id_destino,ciudad_destino,salida,llegada,duracion(min),escalas,aerolinea,precio
13870-2411030835--31915-0-15434-2411031005,MAD,Madrid,PMI,Palma,2024-11-03 08:35:00,2024-11-03 10:05:00,90,0,Ryanair,53.92
15434-2411062220--31915-0-13870-2411062350,PMI,Palma,MAD,Madrid,2024-11-06 22:20:00,2024-11-06 23:50:00,90,0,Ryanair,53.92
13870-2411030705--32221-0-15434-2411030830,MAD,Madrid,PMI,Palma,2024-11-03 07:05:00,2024-11-03 08:30:00,85,0,Iberia Express,46.6
15434-2411062220--31915-0-13870-2411062350,PMI,Palma,MAD,Madrid,2024-11-06 22:20:00,2024-11-06 23:50:00,90,0,Ryanair,46.6
13870-2411031115--31915-0-15434-2411031245,MAD,Madrid,PMI,Palma,2024-11-03 11:15:00,2024-11-03 12:45:00,90,0,Ryanair,101.24
15434-2411061055--31915-0-13870-2411061225,PMI,Palma,MAD,Madrid,2024-11-06 10:55:00,2024-11-06 12:25:00,90,0,Ryanair,101.24
13870-2411030835--31915-0-15434-2411031005,MAD,Madrid,PMI,Palma,2024-11-03 08:35:00,2024-11-03 10:05:00,90,0,Ryanair,74.95
15434-2411061055--31915-0-13870-2411061225,PMI,Palma,MAD,Madrid,2024-11-06 10:55:00,2024-11-06 12:25:00,90,0,Ryanair,74.95
13870-2411030705--32221-0-15434-2411030830,MAD,Madrid,PMI,Palma,2024-11-03 07:05:00,2024-11-03 08:30:00,85,0,Iberia Express,103.87
15434-2411061435--32221-0-13870-2411061600,PMI,Palma,MAD,Madrid,2024-11-06 14:35:00,2024-11-06 16:00:00,85,0,Iberia Express,103.87
13870-2411030705--32221-0-15434-2411030830,MAD,Madrid,PMI,Palma,2024-11-03 07:05:00,2024-11-03 08:30:00,85,0,Iberia Express,103.87
15434-2411061745--32221-0-13870-2411061910,PMI,Palma,MAD,Madrid,2024-11-06 17:45:00,2024-11-06 19:10:00,85,0,Iberia Express,103.87
13870-2411030705--32222-0-15434-2411030830,MAD,Madrid,PMI,Palma,2024-11-03 07:05:00,2024-11-03 08:30:00,85,0,Iberia,107.64
15434-2411061435--32222-0-13870-2411061600,PMI,Palma,MAD,Madrid,2024-11-06 14:35:00,2024-11-06 16:00:00,85,0,Iberia,107.64
13870-2411030705--32221-0-15434-2411030830,MAD,Madrid,PMI,Palma,2024-11-03 07:05:00,2024-11-03 08:30:00,85,0,Iberia Express,103.87
15434-2411061935--32221-0-13870-2411062100,PMI,Palma,MAD,Madrid,2024-11-06 19:35:00,2024-11-06 21:00:00,85,0,Iberia Express,103.87
13870-2411030705--32222-0-15434-2411030830,MAD,Madrid,PMI,Palma,2024-11-03 07:05:00,2024-11-03 08:30:00,85,0,Iberia,112.09
15434-2411061745--32222-0-13870-2411061910,PMI,Palma,MAD,Madrid,2024-11-06 17:45:00,2024-11-06 19:10:00,85,0,Iberia,112.09
13870-2411030705--32221-0-15434-2411030830,MAD,Madrid,PMI,Palma,2024-11-03 07:05:00,2024-11-03 08:30:00,85,0,Iberia Express,68.08
15434-2411062110--32680-0-13870-2411062235,PMI,Palma,MAD,Madrid,2024-11-06 21:10:00,2024-11-06 22:35:00,85,0,Air Europa,68.08
